filename,Atelectasis,Cardiomegaly,Consolidation,Edema,Enlarged Cardiomediastinum,Fracture,Lung Lesion,Lung Opacity,No Finding,Pleural Effusion,Pleural Other,Pneumonia,Pneumothorax
cxr00001.jpg,0.8046182,0.5339917,0.0626923,0.15734598,0.11443843,0.028023843,0.043731634,0.40233603,0.010409931,0.9652804,0.019528775,0.06956998,0.10400461
cxr00002.jpg,0.4305566,0.45760694,0.081518404,0.10470425,0.17409,0.068204,0.09854787,0.29653943,0.06968904,0.7437334,0.0834487,0.10002819,0.076333754
cxr00003.jpg,0.29041103,0.4887438,0.036011163,0.13953818,0.1666512,0.20007484,0.080202535,0.22329041,0.19408149,0.51176596,0.14502907,0.07726175,0.037143867
cxr00007.jpg,0.06300487,0.401852,0.109070785,0.6417783,0.03198342,0.026797019,0.09581404,0.3487659,0.080116466,0.091816776,0.05471887,0.36200008,0.005640595
cxr00008.jpg,0.119052574,0.30354276,0.015773587,0.1987267,0.028666668,0.026333762,0.06549652,0.14524552,0.3714425,0.032380227,0.011831092,0.07149152,0.0013844708
cxr00010.jpg,0.19654685,0.3374339,0.07358985,0.3955967,0.04102174,0.056339584,0.124426655,0.3516858,0.09764574,0.19834448,0.070609175,0.18254657,0.014896375
cxr00011.jpg,0.13003075,0.50842816,0.02505877,0.9360551,0.0054783057,0.001610924,0.016528107,0.13848902,0.01831328,0.271469,0.0026864775,0.082539625,0.0010327017
cxr00013.jpg,0.71033126,0.09947566,0.10912181,0.017411303,0.17519052,0.08245625,0.13669077,0.32256863,0.052806757,0.74907595,0.040144075,0.09381528,0.22169572
cxr00014.jpg,0.62446314,0.061464656,0.04201364,0.0052137016,0.039362032,0.03458986,0.043112885,0.22307873,0.06083963,0.7937166,0.006526168,0.064211585,0.23039831
cxr00015.jpg,0.4815305,0.2401295,0.1207238,0.22346777,0.029001463,0.008976674,0.104141526,0.22823787,0.010436031,0.9633019,0.0068544494,0.09125734,0.0112644695
cxr00017.jpg,0.40088484,0.7426265,0.048549224,0.23468482,0.08471502,0.032945815,0.033879,0.22621788,0.06257644,0.39699554,0.026568599,0.09280033,0.025464712
cxr00022.jpg,0.36467624,0.39635321,0.28454912,0.7373019,0.06017679,0.017760273,0.17768194,0.5069111,0.0071905814,0.9648031,0.043096423,0.19337581,0.027219579
cxr00023.jpg,0.33769917,0.23634414,0.014797603,0.031790014,0.04120604,0.015888987,0.016655369,0.098213874,0.4457367,0.04497323,0.0030011667,0.08159739,0.0040659625
cxr00031.jpg,0.08422775,0.4596953,0.01041278,0.042699173,0.09288048,0.036836725,0.03801213,0.09144545,0.5225866,0.004373171,0.020421337,0.062250525,0.0026880428
cxr00032.jpg,0.18814284,0.050683774,0.21093449,0.06537413,0.06009007,0.025178755,0.2518155,0.4521892,0.01618843,0.61265826,0.040051784,0.3061253,0.25517195
cxr00036.jpg,0.11532729,0.17178741,0.113744944,0.069682665,0.17183566,0.18450233,0.1889005,0.3884868,0.38258892,0.02488802,0.15635331,0.3454551,0.08944734
cxr00037.jpg,0.7264723,0.08847983,0.042855415,0.00820627,0.14232907,0.05619291,0.04458624,0.2553576,0.052945275,0.76162845,0.01655751,0.051574513,0.29409224
cxr00039.jpg,0.4835597,0.07168083,0.046918042,0.00686072,0.112946026,0.11671124,0.054033156,0.2725351,0.17601289,0.36575076,0.029889792,0.09093355,0.32123595
cxr00040.jpg,0.6938923,0.4774109,0.065021604,0.4745377,0.031076513,0.008476959,0.037448388,0.2992667,0.004363426,0.9907268,0.0040768753,0.048441477,0.0175091
cxr00041.jpg,0.11579508,0.13344525,0.009642259,0.013761819,0.04533392,0.03336112,0.029080346,0.10013775,0.58014566,0.009548723,0.006608859,0.067244284,0.0036823696
cxr00043.jpg,0.39781243,0.19884299,0.037699718,0.016214414,0.14208597,0.07947241,0.04912103,0.17586738,0.15920754,0.69747066,0.032531142,0.04158267,0.19449757
cxr00045.jpg,0.5541083,0.053482223,0.046069525,0.003993196,0.08403828,0.10743919,0.06556632,0.2740584,0.19196312,0.30918422,0.01800917,0.10546957,0.15981123
cxr00046.jpg,0.04226227,0.07821911,0.008800117,0.018759055,0.064184874,0.060013745,0.04956231,0.068438366,0.7015458,0.007881328,0.011209286,0.047736045,0.002549349
cxr00050.jpg,0.027920835,0.009112117,0.18302585,0.008714806,0.017137084,0.021046756,0.19263169,0.33358628,0.08827931,0.053315453,0.012191577,0.65039057,0.0662514
cxr00053.jpg,0.3114513,0.28400543,0.04397018,0.0841367,0.12390148,0.084323436,0.10701603,0.17490134,0.17990178,0.6765878,0.05348339,0.058113337,0.042876106
cxr00054.jpg,0.06737215,0.033354383,0.00918972,0.0040097563,0.05909155,0.07086037,0.050103042,0.0741553,0.7472484,0.010477028,0.011955785,0.04757972,0.018015362
